Lemma,Gloss,Persian lemmas (or gap),Persian Gloss
rich,possessing material wealth,"ثروتمند، غنی، دولتمند، توانگر",دارای پول زیاد یا دارای دارایی‌های زیاد
"remember, retrieve, recall, call back, call up, recollect, think",recall knowledge from memory; have a recollection,"به خاطر آوردن، به یاد آوردن",چیزی که در قدیم دیده یا دانسته‌ای را از طریق حافظه‌ات مجددا بدانی و به یاد آوری
poor,having little money or few possessions,"فقیر، مسکین",دارای پول کم یا دارای دارایی‌های کم
"forget, block, blank out, draw a blank",be unable to remember,"فراموش کردن، یاد نیاوردن",ناتوانی در به یاد آوردن
"catch, grab, take hold of",take hold of so as to seize or restrain or stop the motion of,"گرفتن، نگه داشتن",گرفتن به صورتی که مهار یا متوقف شود
sea,a division of an ocean or a large body of salt water partially enclosed by land,دریا,توده‌ای بسیار بزرگ از آب نمکی که به اقیانوس راه دارد
"seashore, coast, seacoast, sea-coast",the shore of a sea or ocean,gap,زمینی در کنار دریا واقع شده است و مرز بین آب و خشکی است
"stop, halt","come to a halt, stop moving","ایستادن، توقف کردن، متوقف شدن",از حالت حرکت کردن درآمدن و حرکت نکردن
butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,پروانه,حشره‌ای دارای بدنی باریک و شاخک‌های بزرگ و بال‌های رنگارنگ پهن که در طول روز دیده می‌شود
"better, improve, amend, ameliorate, meliorate",to make better,"بهتر کردن، بهبود دادن، بهبود بخشیدن، اصلاح کرد، پیشرفت دادن",برتر و خوب‌تر از قبل کردن
shore,the land along the edge of a body of water,ساحل,زمینی در کنار دریا یا دریاچه یا رودی بزرگ واقع شده است و مرز بین آب و خشکی است
leave,"go and leave behind, either intentionally or by neglect or forgetfulness","ترک کردن، رها کردن","ول کردن و پشت سر گذاشتن، چه از قصد یا از غفلت یا از فراموشی"
"price, terms, damage",the amount of money needed to purchase something,"هزینه، قیمت",مقدار پول مورد نیاز برای خرید چیزی
clay,a very fine-grained soil that is plastic when moist but hard when fired,"رس، خاک رس",خاکی با دانه‌های بسیار ریز که وقتی خیس باشد انعطاف پذیر است اما وقتی خشک باشد سفت می‌شود
worm,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae,کرم,"نوعی جانور کوچک نسبتا نرم و دراز و باریک که هم نوع خاکی آن وجو دارد هم آبی (آبزی). از انواع آن‌ها می‌توان به کرم خاکی، کرم کدو و کرم کبد نام برد"
"pine, pine tree, true pine",a coniferous tree,"کاج، درخت کاج",درختی مخروطی شکل
"commercial enterprise, business enterprise, business",the activity of providing goods and services involving financial and commercial and industrial aspects,"شرکت، کسب و کار",فعالیت ارائه کالا و خدمات متضمن جنبه‌های مالی و تجاری و صنعتی
"decay, crumble, delapidate",fall into decay or ruin,"پوسیدگی، زوال، فرسودگی",به تباهی رفتن و تباه شدن
sky,the atmosphere and outer space as viewed from the earth,آسمان,اتمسفر و فضای بیرونی‌ای که از روی زمین قابل مشاهده است
"decompose, rot, molder, moulder",break down,"تجزیه شدن، پوسیده شدن",از بین رفتن و داغون شدن
"bite, seize with teeth","to grip, cut off, or tear with or as if with the teeth or jaws",گاز گرفتن,گرفتن با دندان و قطع یا پاره کردن یا ادای آن را درآوردن با دندان‌ها و فک
"sister, sis",a female person who has the same parents as another person,"خواهر، آبجی",یک شخص مونث که دارای والدین یکسانی با یک شخص دیگر است
press,exert pressure or force to or upon,فشار دادن,اعمال نیرو به چیزی یا روی چیزی
"pull, draw, force",cause to move by pulling,کشیدن,با کشیدن باعث حرکت چیزی شدن
right,being or located on or directed toward the side of the body to the east when facing north,راست,"سمتی از بدن که هنگامی که به سمت شمال می‌ایستیم، در سمت شرق‌مان قرار دارد"
"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body","حمل کردن، بردن","حرکت دادن در حین محافظ کردن، چه با وسیله نقلیه چه در دست‌ها چه روی بدن"
spark,a small fragment of a burning substance thrown out by burning material or by friction,"جرقه، بارقه",بخش کوچکی از یک ماده درحال سوختن که توسط یک جسمی سوزان یا به دلیل سایش از آن به بیرون پرتاب می‌شود; در اصطلاح به اتفاق ناگهانی گفته می‌شود
sweet,having or denoting the characteristic taste of sugar,شیرین,دارای طعم شکر
"nose, olfactory organ",the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,"بینی، دماغ",اندام بویایی و محل ورود به دستگاه تنفسی; قسمتی برجسته بر روی صورت انسان و باقی پستانداران
left,being or located on or directed toward the side of the body to the west when facing north,چپ,"سمتی از بدن که هنگامی که به سمت شمال می‌ایستیم، در سمت غرب‌مان قرار دارد"
sour,having a sharp biting taste,ترش,مزه‌ای گزنده همانند مزه سرکه
"spring, fountain, outflow, outpouring, natural spring",a natural flow of ground water,"چشمه، فواره",جریان طبیعی آب‌ها از زیر زمین
"pluck, plunk, pick",pull lightly but sharply with a plucking motion,"چیدن، کندن",به آرامی اما با تیزی در اوردن چیزی که در جایی جای گرفته
