Indonesian Lemma,Indonesian Definition,Banjarese Lemma,Banjarese Definition
wortel,"tanaman sayuran berakar pasak berdaging berwarna kuning jingga, kaya zat gula, vitamin, dan garam mineral; Dancus carota",wortel,"tanaman sayuran berakar pasak berdaging berwarna kuning jingga, kaya zat gula, vitamin, dan garam mineral; Dancus carota"
ikan salmon,"ikan anadrom yang ukurannya dapat mencapai 150 cm, tubuhnya pipih memanjang, bersisik, bagian belakang langit-langit mulut tidak bergerigi, rahang bawah melengkung ke atas, sirip ekor tidak berbercak, pada ikan dewasa bagian punggung berwarna biru kehijauan dan keperakan di bagian perutnya, terdapat bercak-bercak hitam di atas gurat sisi, tersebar di Samudra Atlantik; salem (Salmo salar)",iwak salmon,"iwak nang hidup di laut tetapi bermigrasi ke air tawar gasan berkembang biak. iwak ini terkenal karena dagingnya yang kaya akan asam lemak omega-3, yang baik gasan kesehatan jantung"
mi goreng,"mi yang dimasak dengan cara ditumis bersama bawang merah dan bawang putih setelah direbus terlebih dahulu, dicampur dengan sayuran dan lauk, kemudian dibumbui kecap, saus, atau cabai",mi goreng,mi nang di goreng dengan rempah-rempah
ikan tuna ekor panjang,"tuna berukuran agak kecil, berat sekitar 13,4 kg (Thunna tonggol)",GAP,
markisa,"tumbuhan merambat, buahnya kira-kira sebesar sawo, kulitnya berbintik-bintik berwarna kuning atau hijau muda keputih-putihan, daging buahnya berasa asam, digunakan sebagai bahan dasar sirop (Passiflora edulis)",markisa,"Buah nang baisi kulit yang babintik, nang warnanya ada kuning dan hijau anum. Buahnya rasanya masam"
nasi gurih,nasi yg dimasak dng santan dan bumbu,GAP,
bawang bombai,bawang besar (Allium cepa),bawang bombai,Bawang ganal
kue abuk,nama penganan yg dibuat dr tepung aren,GAP,
ketan mangga,"penganan khas Thailand berupa nasi ketan yang disajikan dengan potongan mangga manis, saus santan, dan biji kacang hijau atau biji wijen",ketan mangga,ketan nang di sajikan dengan irisan mangga matang dan biasanya disiram dengan santan manis
gula balok,"gula yang dibuat dari sari tebu, bentuknya menyerupai balok dadu dengan warna putih bersih, biasanya digunakan sebagai campuran minuman kopi",gula balok,berbentuk balok yang berasal dari sari tebu
kelor,"pohon merunggai, daunnya dibuat sayur atau obat, Moringa oleifera",GAP,
beras jernih,beras giling yang butir-butirnya tidak mengapur,GAP,
pene,pasta berbentuk silinder dan berukuran pendek,GAP,
mi gelosor,"mi yang terbuat dari tepung singkong (tapioka) dicampur kunyit, berwarna kuning terang, bertekstur kenyal dan licin",GAP,
manila,"sawo manila nama pohon dan buah, buahnya sebesar sawo, kulitnya hijau mengkilat dan agak keras, bergetah dan daging buahnya putih lunak",GAP,
kacang rusa,"kacang tanah yang polongnya mempunyai lukisan urat nyata (jelas), warna kulit biji ungu, daging biji mengandung protein dan lemak",GAP,
gula pasir,gula dari tebu yang bentuknya halus-halus seperti pasir,gula pasir,bahan pemanis berbentuk butir
sosis,daging cincang yg dibumbui dikemas dl selaput sehingga berbentuk silinder panjang,sosis,"makanan nang di ulah dari berbagai jenis daging, seperti daging sapi, ayam"
ikan bakar,ikan yang dipanggang di atas api,GAP,
es mambo,"sajian dingin yang dibuat dari sari buah, susu, gula, dan lain-lain, biasanya disajikan dengan dibungkus plastik berukuran kecil",GAP,
selai stroberi,selai yang terbuat dari stroberi,salai stroberi,makanan yang terbuat dari stroberi yang dimasak dengan gula hingga mengental
ikan laut,ikan yang hidup di air laut,iwak laut,iwak nang hidup di laut
pemanis nutritif,"pemanis yang dapat menghasilkan energi sebesar 4 kalori/gram, umumnya berbentuk pemanis alami",GAP,
alpukat,"pohon, tinggi dapat mencapai 10 m, buahnya berbentuk bulat lonjong, berkulit hijau atau cokelat keungu-unguan, berdaging tebal dan lunak dengan warna kuning kehijau-hijauan; avokad (Persea americana)",GAP,
selimang,"ikan sungai atau laut, biasanya bersembunyi di bawah batuan di dl sungai atau laut",GAP,
ikan salmon,ikan salem,iwak salmon,"iwak nang hidup di laut tetapi bermigrasi ke air tawar gasan berkembang biak. iwak ini terkenal karena dagingnya yang kaya akan asam lemak omega-3, yang baik gasan kesehatan jantung"
tempe kemul,penganan khas Wonosobo berupa mendoan dengan adonan tepung yang lebih banyak,GAP,
kacang cina,"kacang yang buahnya tertanam di tanah, bijinya yang lezat dan gurih sebagai bahan minyak goreng, dibuat berbagai makanan, seperti selai, kacang, gula kacang, sambal kacang (Arachis hypogaea)",kacang cina,kacang nang buahnya tertanam di tanah
tempe orek,"masakan berupa tempe yang dipotong dadu, kemudian ditumis dengan bumbu dasar, kecap, dan cabai",GAP,
mi pangsit,"mi yang dimasak, berkaldu, dan dihidangkan dengan pangsit",mi pangsit,"mi nang disajikan dengan pangsit yang biasanya diisi dengan daging cincang, baik daging ayam atau daging sapi, dan dibumbui"
bubur nasi,bubur yg dibuat dr beras,bubur nasi,Bubur dari Baras yang dimasak lambik
gula bubuk,"gula pasir yang dihancurkan secara mekanis sehingga tidak ada kristal-kristal yang tertinggal, biasanya dicampur dengan sedikit pati atau bahan anti kempal untuk mencegah penggumpalan",gula bubuk,gula pasir yang ditumbuk
roti kismis,roti yg dicarnpur dng kismis,ruti kismis,roti yang ditambahkan dengan kismis atau anggur kering di dalam adonan
jeruk besar,"pohon asli Indonesia, berbatang bengkok, kayunya kuat, berdaun besar bersayap lebar pada tangkainya, bunganya berwarna hijau keputih-putihan dan berbau harum, bentuk, ukuran, warna daging, dan rasa buahnya beraneka ragam, banyak mengandung vitamin C; limau besar (Citrus maxima)",GAP,
daging ayam,daging dari ayam,daging hayam,daging dari hayam
gizi,zat makanan pokok yg diperlukan bagi pertumbuhan dan kesehatan badan,GAP,
tempe gembus,"tempe yang dibuat dari ampas kelapa, kedelai, dan sebagainya",GAP,
baget,"roti panjang khas Prancis, bertekstur keras di luar dan lembut di dalam, biasanya dihidangkan dengan makanan lain",GAP,
beras utuh,"beras pecah kulit, beras tumbuk, atau beras giling yang berukuran sama atau berukuran tiga perempat bagian panjang butir yang tidak patah",GAP,
nasi goreng mawut,"nasi goreng yang dicampur dengan telur, sayur, dan mi",nasi goreng mawut,Nasi yang digoreng pakai bumbu dicampur lawan mi dan sayur sayuran
kalzona,piza yang bagian atasnya ditutup atau dilipat sehingga taburan di atasnya berada di dalam; piza tutup; piza lipat,GAP,
susu macan,nama minuman yang dibuat dari air susu sapi dicampur dengan minuman keras,GAP,
roti,"makanan yg dibuat dr bahan pokok tepung terigu, banyak macamnya",ruti,"makanan yang terbuat dari adonan tepung terigu yang dicampur dengan air, ragi, dan bahan lainnya, lalu dipanggang hingga matang"
kacang keling,kacang yang bijinya bulat dan lebih besar daripada kacang kedelai,GAP,
gula levulosa,gula yang terdapat dalam buah-buahan dan madu yang berfungsi untuk menstabilkan gula darah; fruktosa,GAP,
makaroni,"makanan yg dibuat dr tepung terigu, berbentuk buluh pita, yg dapat diolah dng daging menjadi berbagai macam masakan sup",GAP,
kacang kapri,"kacang yang bijinya sebesar butir jagung, agak keras; kacang polong; ercis (Pisum sativum) ",GAP,
susu kedelai,air susu yang didapatkan dari olahan kedelai,susu kedelai,susu nang diulah dari kacang kedelai
ikan kerapu epinefelid,"ikan besar, tambun, dengan tubuh agak mampat dan mulut yang besar, hidup di laut luas beriklim tropis (Epinephelus striatus spp.)",GAP,
nasi lemang,ketan dng santan yg dimasak dl tabung bambu,lamang,"salah asa ngaran makanan. Asalnya, baras lakatan nang dibuati santan. Sakira kada barikit di tangan, dibungkus pakai daun pisang, imbah ngitu dibanam dalam buluh paring. "
nagasari,"kue kukus terbuat dr tepung beras dan santan berisi pisang, dibungkus dng daun pisang muda",nagasari,"makanan tradisional nang terbuat dari campuran beras ketan yang dikukus dengan isi kelapa parut dan gula merah, dibungkus dengan daun pisang"
jamur tiram,"jamur konsumsi, tudungnya menyerupai cangkang tiram dengan bagian tengah agak cekung dan berwarna putih hingga krem, jenisnya bermacam-macam, seperti jamur tiram putih, jamur tiram merah jambu, jamur tiram kelabu, dan jamur tiram cokelat (Pleurotus ostreatus)",GAP,
nasi kebuli,nasi yg dimasak sekaligus dng daging dan diberi bumbu,nasi kabuli,nasi kebuli
sirsak,"pohon tinggi, kulit buahnya berduri-duri pendek dan lunak, isinya berwarna putih serta berbiji banyak; nangka belanda; Anona muricata",sirsak; nangka balanda,buah tropis yang memiliki kulit berduri dan daging buah berwarna putih
es krim,"penganan dingin yg lembut dan halus terbuat dr susu, kuning telur, kepala susu, dan gula",es krim; is krim,"es nang tabuat dari susu, kuning hintalu, dan gula"
kari,"sayur gulai yang diberi kunyit sehingga kuning warnanya, biasanya tidak pedas",karih,sayur gulai nang bawarna kuning wan kada padas
dawet,minuman yg dibuat dr air gula dan santan diberi cendol (biasanya dicampur es),dawet,minuman dari gula dan santan
nasi putih,nasi tanpa lauk-pauk,nasi putih,Nasi nang kada pakai apa apa
jagung lilin,jagung ladang yang bertekstur lengket ketika dimasak,GAP,
martabak manis,"martabak yang ditaburi gula pasir dan diberi bubuk kacang tanah, cokelat, susu, keju dan sebagainya sesuai selera, kemudian dipanggang dan dilipat",terang bulan wadai,ngaran wadai nang mirip lawan limping atawa apam
es serut,"penganan, terbuat dari es yang diserut, kemudian disiram dengan sirop, biasa ditambahkan dengan potongan buah",es serut,is diparut atawa diserut lalu dicampur lawan buah
ikan bawal laut,"bawal yang panjangnya mencapai 60 cm, kerutan pada kepala hampir mencapai pangkal sirip dada, bagian depan sirip punggung dan dubur memanjang, sirip punggung memiliki 30-43 jari-jari lunak, cuping bawah dari sirip ekor lebih panjang daripada cuping atas, kepala dan badan putih keperakan, bagian dorsal sedikit gelap kebiruan, hidup di dasar berpasir dan berlumpur perairan tropis subtropis dengan kedalaman 5-110 m, tersebar di perairan Indo-Pasifik Barat (",GAP,
kola,"tumbuhan yg termasuk keluarga Sterculiaceae, bijinya mengandung kafein, dapat dipakai sbg obat penyegar (antara lain dicampurkan ke dalam minuman)",GAP,
daging asap,daging yang diasinkan dan disalai,GAP,
kacang garing,kacang tanah yang digoreng (baik dengan minyak maupun tidak) sampai garing,kacang garing,kacang nang telah digoreng atau dipanggang hingga kering dan renyah
hati ayam,hati dari ayam,GAP,
daging kelinci,daging dari kelinci,GAP,
sosis babi,sosis yang terbuat dari daging babi,sosis babi,sosis nang baisi daging babi
belebat,kue yg dibuat dr campuran pisang dan ubi rebus yg dipotong-potong,GAP,
kue mangkuk,kue dari tepung beras atau terigu yang dimasak (dikukus) dalam mangkuk kecil,wadai mangkuk,"kue tradisional berbentuk seperti mangkuk kecil yang terbuat dari campuran tepung beras, tepung terigu, santan, dan gula"
jus lemon,sari buah lemon,GAP,
jus jeruk,sari buah jeruk,jus limau,jus nang terbuat matan limau
ikan tongkol,"ikan laut dan payau, jenis cakalang, ukurannya mencapai panjang 122 cm, berat 16,5 kg, umur 10 tahun, hidup di terumbu karang perairan tropis",iwak tongkol,"iwak nang hidup di laut, biasanya memiliki tubuh ramping dan daging yang keras, iwak ini sering digunakan dalam berbagai hidangan, terutama dalam masakan khas daerah"
ikan sarden,"ikan laut dari suku haring, biasa dikalengkan",iwak sarden,"iwak halus nang sering diawetkan dan dikemas dalam kaleng dengan berbagai macam saus, seperti saus tomat atau minyak. Ikan ini populer sebagai makanan cepat saji dan mudah ditemukan di pasar atau supermarket"
bolu,"kue yg dibuat dr adonan tepung terigu, telur, gula pasir, dsb; -- kukus kue bolu yg dikukus",bolu,"kue yg dibuat dr adonan tepung terigu, telur, gula pasir, dsb"
ikan lele,"ikan air tawar yang ukurannya dapat mencapai 47 cm, tubuhnya agak silindris, tidak bersisik, kepala datar dan keras serta ukurannya relatif besar, mulut lebar dengan empat pasang sungut, sirip dada berpatil, jari-jari sirip punggung dan sirip dubur relatif sedikit dibandingkan dengan kerabatnya, warnanya kehitaman (Clarius batrachus melanoderma)",iwak lele,"Iwak lele nang sejenis iwak banyu tawar yang memiliki tubuh licin, memanjang, dan tidak bersisik, dengan ciri khas kumis panjang di sekitar mulutnya"
sarapan,makanan pagi hari; makanan pada pagi hari,sarapan; makan pagi,makan sungsung di pagi hari
es kolang-kaling,"minuman terbuat dari campuran kolang-kaling, ditambah sirop ros, dibubuhi es",es kolang-kaling,Es dari buah kolang kaling
minuman keras,"minuman beralkohol yang memabukkan, seperti bir, anggur, arak, tuak",GAP,
bawang merah,bawang yang dipakai dalam masakan dan juga digunakan dalam pengobatan sebagai campuran (Allium cepa fa ascalonicum),bawang habang,bawang habang adalah salah sabuting bumbu masakan nang baasal matan iran pakistan wan pagunungan pagunungan di sabalah utaranya nang kamudian tasabar ka panjuru dunia baik nagara sub trupis wan jua trupis bantukannya mirip umbi nang kawa dimakan mantah gasan bumbu masak acar ubat tradisiunal kulit umbinya kawa diulah pawarna wan daunnya kawa diulah sayur bawang habang wahini tamasuk salah sabuting kalumpuk tanaman allium cepa janis tanaman nang mamuat banyak kalumpuk tanaman bawang nang dikanal lawan ngaran gabungan bawang bumbai
nasi uduk,nasi yg dimasak dng santan,GAP,
kue-kue,bermacam-macam kue,perwadaian,makanan nang tabuat matan galapung rancak dimakan hagan maisii parut
kacang bogor,"terna setengah tegak, berbuah polong yang umumnya berisi satu biji, bentuknya bulat sebesar kelereng kecil, biasanya dimakan setelah direbus (Voandzeia subterranea) ",kacang bogor,kacang nang bentuknya sebesar kelereng kecil
prem,"buah berbentuk bulat atau oval, berkulit halus, biasanya berwarna merah atau ungu dan terdapat lekuk pipih, berbiji tunggal; prunus",prem,"buah bulat, berkulit halus warna habang keunguan"
ongol-ongol,"penganan terbuat dr tepung sagu, gula, kelapa, dsb",ongol-ongol,"penganan tradisional, dibuat dari tepung sagu, gula, kelapa, dan sebagainya rasanya manis"
kecap jepang,"kecap yang dihasilkan dari fermentasi gandum, rasanya manis atau asin",GAP,
kue keranjang,"penganan tradisonal khas Tionghoa, terbuat dari tepung ketan dan gula, bertekstur kenyal dan lengket, berbentuk keranjang, biasanya dibuat ketika perayaan tahun baru imlek",GAP,
gula barli,"permen yang keras dan memiliki cita rasa jeruk lemon, dibuat dari cairan barli ditambah gula",GAP,
gula cakar,"gula khas Majalengka yang terbuat dari campuran gula putih dan soda kue, dicetak berbentuk persegi dan berwarna merah muda",GAP,
pepes,"lauk yang biasanya dibuat dari ikan, ayam, tahu, dan sebagainya yang dirempahi dan dibungkus dengan daun pisang, kemudian dikukus atau dipanggang",pais,makanan nang dibumbui dan dibungkus daun pisang
daging kering,"daging yang diawetkan dengan cara diasap, dijemur, atau dianginkan; dendeng",GAP,
kacang atom,"camilan berupa kacang tanah yang dibalut dengan tepung berbumbu, kemudian digoreng, berbentuk bulat, berwarna putih, dan bertekstur renyah",kacang atom,kacang tanah yang dibungkus dengan adonan tepung dan digoreng hingga renyah. Biasanya kacang ini memiliki rasa gurih dan sering dijadikan camilan
es potong,"es yang disajikan berbagai rasa seperti kacang hijau, ketan hitam, sari buah, dan sebagainya yang dibuat dalam bentuk panjang, disajikan dalam ukuran pendek dan diberi gagang pada ujungnya",GAP,
soto Banjar,"soto khas Banjar dengan kuah yang diberi campuran susu, berisi ayam, telur rebus, sohun, dan sebagainya",soto banjar,"soto has suku banjar, kalimantan salatan lawan bahan tatambaian ayam wan baisi bau harum rarampah kaya kayu manis, bigi pala, wan cangkih, ada wayahnya paulahan kuah soto banjar kawa dicampurakan lawan sahikit susu nang maulah kalir kuahnya jadi kada baning, tagal sahikit karuh, soto ngini baisi daging ayam nang sudah disuwir-suwir, lawan tambahan perkedel, kantang bajarang, jajarangan hintalu, tatakan wortel wan katupat"
tin,"pohon yang berasal dari Timur Tengah, menghasilkan cairan lateks yang keluar dari batangnya, bisa tumbuh sampai 10 m, daunnya mirip daun ubi atau pepaya, ketika mentah, buahnya berwarna hijau dan berubah menjadi ungu ketika matang, jika digigit menimbulkan aroma semerbak serta rasa seperti buah jambu biji, berkhasiat mengobati pembengkakan karena berbagai sebab, disebut juga buah dari surga (Ficus carica)",tin,Buah tin dari timur tengah
jus,sari buah,jus,Minuman nang tabuat dari sari
rawon,"masakan (lauk) berkuah dibuat dari irisan daging dengan bumbu utamanya keluak, ditambah rempah-rempah lain",rawon,sup daging yang dimasak dengan bumbu khas sehingga menghasilkan kuah berwarna hitam pekat dan rasa yang kaya
kue pengantin,kue yang disajikan pada acara pengantinan,wadai pengantin,"kue nang dibuat khusus untuk perayaan pernikahan, biasanya dihias dengan indah dan terdiri dari beberapa lapisan"
